module,type,name,res_id,src,value,comments
account,model,"ir.model.fields,help",account.field_account_invoice__state," * The 'Draft' status is used when a user is encoding a new and unconfirmed Invoice.
 * The 'Open' status is used when user creates invoice, an invoice number is generated. It stays in the open status till the user pays the invoice.
 * The 'In Payment' status is used when payments have been registered for the entirety of the invoice in a journal configured to post entries at bank reconciliation only, and some of them haven't been reconciled with a bank statement line yet.
 * The 'Paid' status is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
 * The 'Cancelled' status is used when user cancel invoice.","*El estado ""Borrador"" se usa cuando un usuario está codificando una factura nueva no confirmada aún. 
*El estado 'Abierto' se usa cuando el usuario crea la factura, y luego se genera un número de factura. La factura permanece en estado abierto hasta que se paga.
*El estado 'En proceso de pago' se usa cuando los pagos se han registrado para el monto total de la factura en un diario configurado para contabilizar entradas, sólo con la conciliación bancaria. El estado se refiere a los pagos que aún no se han conciliado con una línea de extracto bancario.
*El estado 'Pagado' se establece automáticamente cuando se paga la factura. Sus entradas de diario relacionadas puede que no han sido reconciliadas.
*El estado 'Cancelado' se usa cuando el usuario cancela la factura.",
account,model,"ir.model.fields,field_description",account.field_account_chart_template__code_digits,# of Digits,Núm. de dígitos,
account,model,"mail.template,report_name",account.mail_template_data_payment_receipt,"${(object.name or '').replace('/','-')}","${(object.name or '').replace('/','-')}",
account,model,"mail.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a'}),${object.company_id.name} Factura (Ref ${object.number or 'n/a'}),
account,model,"mail.template,subject",account.mail_template_data_payment_receipt,${object.company_id.name} Payment Receipt (Ref ${object.name or 'n/a' }),${object.company_id.name} Recibo de Pago (Ref ${object.name or 'n/a' }),
account,code,addons/account/models/account.py,943,%s (Copy),%s (Copia),
account,code,addons/account/models/account.py,245,%s (copy),%s (copy),
account,code,addons/account/models/account.py,249,%s (copy),%s (copy),
account,code,addons/account/models/account.py,251,%s (copy),%s (copy),
account,code,addons/account/models/account.py,604,%s (copy),%s (copy),
account,code,addons/account/models/account.py,605,%s (copy),%s (copy),
account,code,addons/account/models/account.py,695,%s Sequence,%s Secuencia,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,&amp;nbsp;<span>on</span>,&amp;nbsp;<span>en</span>,
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_chatter,&amp;times;,&amp;times;,
